--- scanner 0 ---
518,548,922
-463,418,-234
-47,92,75
484,596,950
-668,-439,-315
-311,509,-258
695,613,911
-693,696,407
824,-523,-400
526,863,-346
835,-582,-299
732,-620,-401
-776,-340,558
-629,763,528
-769,-490,-378
-729,-489,647
625,941,-377
740,-394,655
-826,-336,619
-390,509,-275
578,-285,669
-559,-474,-447
-584,737,551
509,-368,635
649,903,-479

--- scanner 1 ---
672,-406,817
477,386,765
-493,-498,726
643,-513,756
-413,-474,838
407,352,716
97,6,45
-519,364,-714
-625,492,433
537,-664,-373
604,622,-584
-404,-432,718
-492,260,-793
683,670,-638
-567,-628,-604
577,-696,-393
-564,469,564
132,-157,-89
-598,471,677
-659,-673,-606
441,489,841
587,-444,672
451,-693,-375
685,711,-617
-634,259,-743
-751,-611,-648

--- scanner 2 ---
-603,-567,-383
529,-420,881
-785,-565,-381
-28,-3,-5
-818,568,-551
-824,363,-502
508,716,-790
-477,-747,647
-422,746,583
-469,572,507
-462,-725,465
-136,-113,120
-684,-602,-309
429,588,-742
589,-880,-338
572,603,911
632,600,732
-479,781,530
586,561,868
645,-383,881
590,-540,862
602,-866,-282
734,-859,-287
-487,-785,411
399,664,-687
-825,492,-355

--- scanner 3 ---
685,-540,-346
558,649,-782
345,770,731
580,-565,-397
711,724,-790
-476,-596,899
-512,-840,-508
-568,-746,-468
-831,530,708
-706,553,714
403,759,565
-774,431,-320
-80,-103,76
893,-743,494
633,843,-781
-460,-856,-547
-856,498,-396
728,-762,426
-466,-757,819
45,34,148
551,-495,-348
784,-817,575
-813,599,804
-508,-541,838
399,785,683
-812,296,-441

--- scanner 4 ---
-833,419,-685
-649,471,788
714,-553,870
-504,-456,-348
747,564,-709
-448,-384,-461
769,-578,908
17,31,-46
-79,-61,101
-684,378,885
703,552,-696
-542,-357,-380
-581,316,828
-372,-905,779
668,834,803
424,-502,-633
-899,539,-595
-557,-833,738
-703,510,-662
732,398,-707
620,658,854
588,-445,-582
581,649,821
-418,-886,759
582,-618,-633
719,-443,894

--- scanner 5 ---
519,-699,-930
473,-410,415
756,791,465
508,-703,-859
303,-505,389
767,375,-681
785,682,560
-456,-746,-747
786,376,-521
-57,-17,-26
714,466,-556
-582,370,-797
534,-699,-835
-615,345,513
-484,-514,665
327,-353,470
688,787,563
-616,-646,-732
-601,-555,739
-562,446,534
-488,-513,665
-663,429,-808
-466,387,609
-536,-596,-808
-660,390,-728

--- scanner 6 ---
753,-452,-462
-723,856,853
-610,-562,812
-575,-845,-624
448,-380,520
-111,116,120
722,809,544
-761,754,750
-616,-748,-688
368,897,-293
436,-388,542
-781,-625,754
-442,-784,-655
-664,755,842
741,-327,-621
-631,777,-751
800,778,643
277,921,-445
-13,-48,-24
762,676,667
-770,-446,803
-615,708,-541
368,880,-372
580,-385,418
-580,840,-650
697,-480,-599

--- scanner 7 ---
794,761,517
-510,-616,596
-515,569,-319
456,-763,-317
-754,-643,617
730,444,-487
-461,-511,-373
-422,459,511
702,500,-624
-623,-582,594
-38,122,-61
-346,423,614
802,749,495
855,456,-646
-431,625,-388
378,-736,739
-370,654,-281
0,-28,53
532,-752,-493
-469,-422,-307
-349,-431,-349
524,-661,778
-471,389,477
797,617,393
